OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
491,25.9951171875,116.96386718750003,59.5
492,25.995117187499996,116.9658203125,74.5
493,25.995117187499996,116.96777343750006,90.5
494,25.9951171875,116.96972656249997,111.0
495,25.995117187499996,116.9716796875,130.0
496,25.995117187499996,116.97363281250003,144.5
497,25.9951171875,116.97558593750003,164.0
498,25.9951171875,116.9775390625,181.0
499,25.995117187499996,116.9794921875,192.5
500,25.9951171875,116.98144531250003,202.0
501,25.995117187499996,116.98339843750003,213.0
502,25.993164062499996,116.6591796875,99.0
503,25.993164062499996,116.6611328125,98.5
504,25.993164062499996,116.66308593750003,101.0
505,25.993164062499996,116.66503906249997,102.5
506,25.993164062499996,116.6669921875,103.0
507,25.993164062499996,116.66894531250003,105.0
508,25.993164062499996,116.67089843750003,107.5
509,25.993164062499996,116.67285156249997,106.0
510,25.993164062499996,116.67480468749997,105.5
511,25.993164062499996,116.6767578125,108.0
512,25.993164062500004,116.6787109375,110.0
513,25.993164062499996,116.68066406249997,114.5
514,25.993164062499996,116.6826171875,119.0
515,25.993164062499996,116.6845703125,121.0
516,25.993164062499996,116.6865234375,122.0
517,25.993164062499996,116.68847656250003,124.0
518,25.993164062499996,116.69042968750003,125.0
519,25.993164062499996,116.6923828125,127.0
520,25.993164062499996,116.69433593749997,129.5
521,25.993164062499996,116.69628906250003,131.5
522,25.993164062499996,116.6982421875,138.5
523,25.993164062499996,116.70019531249997,138.0
524,25.993164062499996,116.7021484375,142.5
525,25.993164062499996,116.7041015625,143.5
526,25.993164062499996,116.7060546875,143.5
527,25.993164062499996,116.70800781250003,142.5
528,25.993164062499996,116.7099609375,141.5
529,25.993164062499996,116.71191406250003,140.5
530,25.993164062499996,116.7138671875,134.0
531,25.993164062499996,116.71582031250003,127.5
532,25.993164062499996,116.71777343749997,127.0
533,25.993164062499996,116.71972656249997,122.5
534,25.993164062499996,116.7216796875,114.5
535,25.993164062499996,116.7236328125,108.5
536,25.993164062499996,116.72558593749997,103.0
537,25.993164062499996,116.7275390625,98.0
538,25.993164062499996,116.7294921875,92.0
539,25.993164062499996,116.73144531250003,85.0
540,25.993164062499996,116.73339843749994,80.5
541,25.993164062499996,116.7353515625,72.0
542,25.993164062499996,116.7373046875,63.0
543,25.993164062499996,116.73925781249997,46.0
544,25.993164062499996,116.74121093750003,43.0
545,25.993164062499996,116.74316406249997,26.0
546,25.993164062499996,116.74511718750006,15.0
547,25.993164062499996,116.74707031249997,7.0
548,25.993164062499996,116.7490234375,0.5
549,25.993164062499996,116.75097656250003,-7.0
550,25.993164062499996,116.75292968749997,-15.5
551,25.993164062499996,116.7548828125,-21.5
552,25.993164062499996,116.7568359375,-29.5
553,25.993164062499996,116.75878906250003,-41.0
554,25.993164062499996,116.76074218750003,-51.0
555,25.993164062499996,116.76269531249997,-56.5
556,25.993164062499996,116.76464843750003,-62.5
557,25.993164062499996,116.76660156249997,-68.0
558,25.993164062499996,116.7685546875,-74.5
